,transect,row,time,week,julian,count,position
1452,control,49,am,27,183,0,2
1453,control,49,am,27,183,0,3
1454,control,49,am,27,183,0,4
1461,control,51,am,27,183,0,1
1462,control,51,am,27,183,0,2
1463,control,51,am,27,183,0,3
1464,control,51,am,27,183,0,4
1501,control,47,am,27,184,0,1
1502,control,47,am,27,184,0,2
1503,control,47,am,27,184,0,3
1504,control,47,am,27,184,0,4
1511,control,49,am,27,184,0,1
1512,control,49,am,27,184,0,2
1513,control,49,am,27,184,0,3
1514,control,49,am,27,184,0,4
1521,control,51,am,27,184,0,1
1522,control,51,am,27,184,0,2
1523,control,51,am,27,184,0,3
1524,control,51,am,27,184,0,4
1561,control,44,pm,28,191,1,1
1562,control,44,pm,28,191,1,2
1563,control,44,pm,28,191,2,3
1564,control,44,pm,28,191,0,4
1571,control,46,pm,28,191,0,1
1572,control,46,pm,28,191,1,2
1573,control,46,pm,28,191,1,3
1574,control,46,pm,28,191,0,4
1581,control,48,pm,28,191,0,1
1582,control,48,pm,28,191,0,2
1583,control,48,pm,28,191,0,3
1584,control,48,pm,28,191,0,4
1651,control,46,am,28,191,0,1
1652,control,46,am,28,191,0,2
1653,control,46,am,28,191,0,3
1654,control,46,am,28,191,0,4
1661,control,48,am,28,191,0,1
1662,control,48,am,28,191,0,2
1663,control,48,am,28,191,0,3
1664,control,48,am,28,191,1,4
1671,control,44,am,28,191,0,1
1672,control,44,am,28,191,0,2
1673,control,44,am,28,191,0,3
1674,control,44,am,28,191,0,4
1711,control,44,pm,28,192,0,1
1712,control,44,pm,28,192,1,2
1713,control,44,pm,28,192,0,3
1714,control,44,pm,28,192,0,4
1721,control,46,pm,28,192,0,1
1722,control,46,pm,28,192,0,2
1723,control,46,pm,28,192,0,3
1724,control,46,pm,28,192,0,4
1731,control,48,pm,28,192,0,1
1732,control,48,pm,28,192,0,2
1733,control,48,pm,28,192,1,3
1734,control,48,pm,28,192,0,4
1771,control,44,am,28,192,1,1
1772,control,44,am,28,192,0,2
1773,control,44,am,28,192,0,3
1774,control,44,am,28,192,0,4
1781,control,46,am,28,192,0,1
1782,control,46,am,28,192,0,2
1783,control,46,am,28,192,0,3
1784,control,46,am,28,192,0,4
1791,control,48,am,28,192,0,1
1792,control,48,am,28,192,0,2
1793,control,48,am,28,192,0,3
1794,control,48,am,28,192,0,4
1831,control,44,am,28,193,0,1
1832,control,44,am,28,193,1,2
1833,control,44,am,28,193,0,3
1834,control,44,am,28,193,0,4
1841,control,46,am,28,193,0,1
1842,control,46,am,28,193,0,2
1843,control,46,am,28,193,0,3
1844,control,46,am,28,193,1,4
1851,control,48,am,28,193,0,1
1852,control,48,am,28,193,0,2
1853,control,48,am,28,193,0,3
1854,control,48,am,28,193,1,4
1891,control,44,pm,28,193,1,1
1892,control,44,pm,28,193,0,2
1893,control,44,pm,28,193,0,3
1894,control,44,pm,28,193,0,4
1901,control,46,pm,28,193,0,1
